BANNERS,,,,,,,,,,,,,,,,
90%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Banner 1,,Primary reason for GLP-1 use,,Gender,,,,Age,,,,,Side effects,,GLP-1 use duration,
,Total (current GLP-1 users),Weight loss,Diabetes,Male,Female,Other,Prefer not to respond,Gen Z (18-27),Millennials (28-43),Gen X (44-59),Boomers (60-78),Silent Generation (79-96),With side effects,No side effects,<1 year,1 year+
"A/B, C/D/E/F, E/F/G/H/I, J/K, L/M",,(A),(B),(C),(D),(E),(F),(E),(F),(G),(H),(I),(J),(K),(L),(M)
,,,,,,,,,,,,,,,,
(A) S3=1,,,,,,,,,,,,,,,,
(B) S3=2,,,,,,,,,,,,,,,,
(C) S2=1,,,,,,,,,,,,,,,,
(D) S2=2,,,,,,,,,,,,,,,,
(E) S2=3,,,,,,,,,,,,,,,,
(F) S2=4,,,,,,,,,,,,,,,,
(G) S1=18-27,,,,,,,,,,,,,,,,
(H) S1=28-43,,,,,,,,,,,,,,,,
(I) S1=44-59,,,,,,,,,,,,,,,,
(J) S1=60-78,,,,,,,,,,,,,,,,
(K) S1=79-96,,,,,,,,,,,,,,,,
(L) S5<1,,,,,,,,,,,,,,,,
(M) S5 > =  1 year,,,,,,,,,,,,,,,,
